id	categorie	type	caracteristique	titre	description	special	collection	lien pixabay	texte_choixA	texte_choixB	peuple_modificateur_choixA	peuple_modificateur_choixA_matchtype	parti_modificateur_choixA	parti_modificateur_choixA_goodmatch	monde_modificateur_choixA	monde_modificateur_choixA_goodmatch	gouvernement_modificateur_choixA	gouvernement_modificateur_choixA_goodmatch	peuple_modificateur_choixB	peuple_modificateur_choixB_matchtype	parti_modificateur_choixB	parti_modificateur_choixB_goodmatch	monde_modificateur_choixB	monde_modificateur_choixB_goodmatch	gouvernement_modificateur_choixB	gouvernement_modificateur_choixB_goodmatch	special_choixA	special_choixB
11	sport	faits_divers	NA	Le Westernia City FC sacré champions d'Europe des clubs de football	Westernia City a remporté aux tirs au but la finale de la Ligue des champions	0	normal	https://cdn.pixabay.com/photo/2016/12/15/12/01/football-1908717_960_720.jpg	J'avais parié le budget de la culture sur l'autre équipe…	Le footquoi ?	3	NA	0	NA	1	NA	-3	NA	-3	NA	0	NA	0	NA	3	NA	NA	NA
12	sport	faits_divers	NA	Des échauffourées entre hooligans anglais et westerniens tournent au drame	Quelques 200 supporters anglais ont perturbés la fin du match Westernia-Angleterre au Westernia City Stadium	0	normal	https://cdn.pixabay.com/photo/2017/03/11/07/04/football-2134477_960_720.jpg	Il faut renforcer le service de sécurité autour des évenements sportifs	Le supporter westernien est pacifique, contrairement aux anglais	-3	NA	0	NA	1	NA	2	NA	3	NA	0	NA	-2	NA	-1	NA	NA	NA
13	sport	faits_divers	NA	Obésité : les westerniens sont les plus touchés en Europe	Malgré une lutte efficace, le nombre d'obèses a quadruplé ces dernières années	0	normal	https://cdn.pixabay.com/photo/2014/06/20/12/19/thick-373064_960_720.jpg	Taxez les sodas et les hambugers	Promouvoir les vertus du sport	-3	NA	0	NA	0	NA	3	NA	3	NA	0	NA	0	NA	-3	NA	NA	NA
14	sport	economie	opportuniste	Westernia City candidate pour l'obtention et l'organisation des Jeux olympiques	La candidature westernienne est crédible et équilibrée. Un succès pourrait redonner au pays un optimisme collectif bienvenu	1	normal	https://cdn.pixabay.com/photo/2016/12/29/19/38/olympic-rings-1939227_960_720.jpg	L'argent des JO pourrait être mieux utilisée	C'est l'opportunité de développer davantage les infrastructures du pays	-2	-4	0	-6	-6	-7	2	0	-4	0	0	7	6	7	-3	-2	NA	JO
15	sport	societe	reactionnaire	Westernia autorise les combats de gladiateurs aux JO	Le retour de la discipline longtemps interdite est attendu comme l'évenement phare des jeux	0	JO	https://cdn.pixabay.com/photo/2016/03/10/19/05/gladiator-1249010_960_720.jpg	Panem et circenses	Il faut vivre avec son temps	3	6	0	6	0	0	0	0	3	-3	0	-6	0	0	0	0	NA	NA
16	sport	faits_divers	NA	Un nageur westernien bat le record du monde sur 200 mètres nage libre	Clément Talle a été sacré champion du monde de 200 mètres nage libre	0	normal	https://cdn.pixabay.com/photo/2015/03/05/05/15/swimmer-659906_960_720.jpg	C'est inespéré	Westernia est la meilleure nation de natation	2	NA	0	NA	2	NA	0	NA	3	NA	0	NA	-2	NA	0	NA	NA	NA
17	sport	societe	conservateur	L'équipe de football de Westernia joue actuellement sans entraîneur	Certains joueurs auraient oser critiquer leur coach dans les vestiaires, celui-ci ne l'aurait pas toléré et présente sa démission	0	normal	https://cdn.pixabay.com/photo/2016/09/16/20/11/football-1675032_960_720.jpg	Je vais prendre personnellement en charge l'entrainement de l'équipe	Cette équipe est à l'image de notre jeunesse : idiote	2	2	0	-4	0	0	-2	-4	-2	4	0	4	0	0	2	4	NA	NA
18	societe	faits_divers	NA	A Westernia, la cigarette fait toujours un tabac	Stagnation à un niveau élevé du nombre de fumeurs. Le tabagisme est à l'origine de 199 000 morts par an	0	normal	https://cdn.pixabay.com/photo/2013/02/21/19/01/addict-84430_960_720.jpg	Je ferais bien une pause clope moi	Taxez la consomation de cigarettes	3	NA	0	NA	0	0	-3	NA	-3	NA	0	NA	0	NA	3	NA	NA	NA
19	sport	economie	pragmatique	Bientôt la bière autorisée dans tout les stades de ligue 1	Interdite à cause du gouvernement précédent, la vente de bière dans les stades est pourtant souhaitée par la Ligue de Football Professionnel. L'enjeu financier est énorme	0	normal	https://cdn.pixabay.com/photo/2017/05/05/19/33/beer-2288121_960_720.jpg	Maintenir l'interdiction	Autoriser la vente de bières dans tout les stades et la taxer	0	0	0	-4	0	0	2	0	0	0	0	4	0	0	-2	2	NA	NA
20	sport	economie	communiste	L'équipe de handball de Westernia ne participera pas à la coupe du monde faute de moyens	Malgré une qualification acquise, l’équipe nationale de handball n’ira pas à la Coupe du Monde, faute de moyens	0	normal	https://cdn.pixabay.com/photo/2016/12/25/15/41/ball-1930193_960_720.jpg	Prélever sur le trésor public la somme nécessaire	Le handquoi ?	2	4	0	4	2	4	-2	-4	-2	-4	0	-4	-2	-4	2	4	NA	NA
21	sport	societe	reactionnaire	Westernia , les jeunes n'aiment pas le sport, ils préfèrent jouer aux jeux videos	Quatre ados sur cinq préfèrent les jeux videos au sport	0	normal	https://cdn.pixabay.com/photo/2017/04/25/10/08/gaming-2259191_960_720.jpg	On s'fait un fifa ?	Personnellement, mes cinq enfants préfèrent le sport	2	-4	0	-3	0	0	-2	-4	-2	4	0	4	0	0	2	4	NA	NA
22	sport	economie	capitaliste	Westernia dans le top 3 des nations sur le marché de l'e-sport	Les grandes marques investissent de plus en plus dans les compétitions autour des jeux videos	0	normal	https://cdn.pixabay.com/photo/2016/07/30/15/38/gaming-1557358_960_720.jpg	Vers une démocratisation de l'e-sport	Vers une professionnalisation de l'e-sport	2	-4	0	-3	0	0	0	0	-2	4	0	4	0	0	0	0	NA	NA
23	economie	economie	capitaliste	Aéroport : une ambition mesurée	L'investissement dans les nouvelles lignes a été divisé par trois cette année	0	normal	https://cdn.pixabay.com/photo/2017/06/08/20/45/airport-2384847_960_720.jpg	L'expansion de la métropole passe par l'expansion des aéroports	Le coût financier est trop grand pour les collectivités	-2	-2	-2	4	2	4	-2	2	2	0	2	-4	-2	-4	2	0	NA	NA
24	politique	debut_de_mandat	NA	Une majorité renouvelée ?	La coalition rassemblée autour du président ravirait la plupart des sièges du Sénat	0	normal	https://cdn.pixabay.com/photo/2017/04/21/18/18/parthenon-2249508_960_720.jpg	Pour une majorité relative	Pour une majorité absolue	0	NA	-2	NA	0	NA	4	NA	0	NA	4	NA	0	NA	-2	NA	NA	NA
25	societe	faits_divers	NA	Baccalauréat : un premier couac	En raison d'une fuite repérée, l'épreuve de mathématiques n'aura pas lieu comme prévu	0	normal	https://cdn.pixabay.com/photo/2014/04/05/11/07/empty-314554_960_720.jpg	C'est trop bête	"Et le ""sujet de secours"" ?"	2	NA	0	NA	0	NA	-2	NA	-2	NA	0	NA	0	NA	2	NA	NA	NA
26	economie	economie	capitaliste	L'ancien toujours plus haut	Près de 20% de hausse constatés sur 12 mois. L'immobilier ancien continue de s'apprécier à Westernia	0	normal	https://cdn.pixabay.com/photo/2017/03/10/09/45/albania-2132305_960_720.jpg	Accorder des aides pour la rénovation	Augmenter la taxe habitation	2	2	-2	4	0	0	-2	-2	-2	-2	2	-4	0	0	2	2	NA	NA
27	societe	faits_divers	NA	Incendie de Westernia City	Le revêtement extérieur, composé de plastique aurait accéléré la propagation du feu	0	normal	https://cdn.pixabay.com/photo/2017/03/14/13/21/firemen-2143122_960_720.jpg	Imposer une nouvelle norme incendie	L'incendie a été perpétré par des terroristes étrangers	-2	NA	0	NA	2	NA	2	NA	2	NA	0	NA	-2	NA	-2	NA	NA	NA
28	politique	societe	progressiste	Le président est sympathique	Les westerniens semblent s'attacher à la personnalité du président de la république	0	normal	https://cdn.pixabay.com/photo/2015/03/26/09/41/tie-690084_960_720.jpg	Je suis un citoyen ordinaire	Je suis l'homme providentiel	-2	4	-2	4	0	2	0	0	2	-4	2	-4	2	-2	0	0	NA	NA
29	culture	faits_divers	NA	Le Rock Festival déchaîne les esprits	Les plus grands groupes de rock de la planète réunis à Westernia City. L'évenement musical le plus coûteux  et où l'on consomne le plus de bière	0	normal	https://cdn.pixabay.com/photo/2015/06/23/21/32/concert-819149_960_720.jpg	Acheter un ticket pour le festival	Taxer les fautes de goût et les décibels	2	NA	0	NA	2	NA	-3	NA	-2	NA	0	NA	-2	NA	3	NA	NA	NA
30	international	diplomatie	interventionniste	Les pays de l'ancien bloc soviétique menaçés par la Russie	Certains pays slaves sont parvenus à s'émanciper de l'ingérence de leur voisin russe. En réponse, la Russie vient de mobiliser toute son armée à la frontière	0	normal	https://cdn.pixabay.com/photo/2017/05/29/18/09/truck-2354454_960_720.jpg	Il faut mettre un terme aux visées expansionnistes des russses	Laissons les slaves régler leurs problèmes entre eux	-3	3	-3	6	3	6	-2	-2	3	-3	-3	-6	-3	-6	2	2	NA	NA
31	international	diplomatie	interventionniste	Afrique : une épidémie mortelle se propage sur le continent	L’OMS tente de faciliter le déploiement des matériels de protection et du personnel sur le terrain afin de maîtriser l’épidémie	0	normal	https://cdn.pixabay.com/photo/2016/10/30/17/46/sadness-1783794_960_720.jpg	Les associations humanitaires sauront très bien gérer la situation	Envoyer une mission humanitaire pour soigner notre image en Afrique	0	0	2	-4	-3	-6	2	2	0	0	-2	5	3	6	-2	-2	NA	NA
32	international	diplomatie	isolationniste	Le nouvel axe du mal	"Les états-unis d'Amerique ont établis une liste d'""états-voyous"" que les membres de l'alliance atlantique s'engage à combattre"	0	normal	https://cdn.pixabay.com/photo/2016/12/25/05/27/statue-of-liberty-1929668_960_720.jpg	Combattre les forces du mal avec nos alliés	Rejoindre les non-alignés	0	-2	2	-4	5	3	-3	-4	2	-2	-2	5	-5	-5	2	2	NA	NA
33	international	societe	reactionnaire	Le Président, élevé à la dignité de chanoine d'honneur par le Pap	Ce titre prestigieux, héritage de la monarchie westernienne, est accordé par le Vatican au chef de l'état	0	normal	https://cdn.pixabay.com/photo/2017/02/11/17/07/god-2058084_960_720.jpg	Westernia a été et sera toujours la fille aînée de l'Eglise catholique	La république et l'Eglise catholique doivent rester séparées	-2	6	-4	6	3	3	-3	-3	2	-6	2	-6	-3	-3	3	3	NA	NA
34	international	economie	pragmatique	Le dalaï-lama en visite officielle à Westernia	Le chef spirituel du Tibet souhaiterait ardemment s'entretenir avec le Président. La Chine menace d'appliquer des sanctions économiques si une telle rencontre devait avoir lieu	0	normal	https://cdn.pixabay.com/photo/2015/04/03/17/57/buddhism-705584_960_720.jpg	Recevoir le dignitaire tibétain. Les chinois ne me font pas peur	Realpolitik : le Dalaï Lama n'a qu'à s'entretenir avec un autre président	0	0	2	-6	3	3	-2	-2	0	0	-2	6	-3	-3	2	2	NA	NA
35	international	societe	conservateur	Un territoire d'outre-mer français déclare son indépendance	Les fonctionnaires français ont dû évacuer précipitemment l'île suite à l'insurrection. Les rebelles pensent que le nouveau gouvernement sera plus efficace que l'état français pour défenre les intérêts du peuple	0	normal	https://cdn.pixabay.com/photo/2017/04/28/00/25/flag-2267063_960_720.jpg	Soutenir les rebelles	Soutenir la France	0	0	2	-4	-3	-3	-2	-2	0	0	-2	4	3	3	-2	-2	NA	NA
36	international	societe	progressiste	L'Argentine tente d'annexer plusieurs territoires d'outre-mer britannique	Le gouvernement argentin a envoyé plusieurs flottes de pêche occupper les territoires anglais voisins. Une flotte de guerre vient de partir de Londres pour défendre les intérêts du royaume	0	normal	https://cdn.pixabay.com/photo/2016/07/18/19/49/hms-1526653_960_720.jpg	Soutenir l'Argentine pour embêter les anglais	Soutenir le Royaume-Uni, notre fidèle allié	0	0	-2	5	-3	-3	-2	-2	0	0	2	-5	3	3	-2	-2	NA	NA
37	international	diplomatie	interventionniste	L'Iran poursuit son programme nucléaire	En dépit des avertissements de la communauté internationale, l'ambassadeur d'Iran a affirmé que les applications du programme seront exclusivement civiles	0	normal	https://cdn.pixabay.com/photo/2013/02/06/21/52/iran-78829_960_720.jpg	Le nucléaire ne doit pas tomber entre les mains d'une puissance islamique	Soutenir le programme nucléaire iranien en échange d'un accord commercial	0	0	-2	4	3	5	-2	-2	0	0	2	-4	-3	-5	2	2	NA	NA
38	international	diplomatie	opportuniste	Du pétrole au Mexique !	L'exploitation de champs off-shore a été rendue possible au large de la côte mexicaine. De nombreux pays occidentaux se sont dit prêt à soutenir le développement de l'économie encore émergente du Mexique	0	normal	https://cdn.pixabay.com/photo/2015/03/17/23/03/flag-678479_960_720.jpg	Passer par les cartels du crime pour acheter les droits d'exploitation	Passer par le gouvernement mexicain pour acheter les droits d'exploitation	0	0	-2	4	-3	5	2	2	0	0	2	-4	3	3	0	0	NA	NA
39	international	diplomatie	interventionniste	Guerre en Irak	Les Etats-Unis mènent une coalition internationale contre l'Irak afin d'y instaurer la démocratie et la liberté. Toutes les démocraties du monde libre sont appelées à participer à l'effort de guerre	0	normal	https://cdn.pixabay.com/photo/2012/10/10/05/06/howitzer-60542_960_720.jpg	On n'exporte pas la démocratie dans un fourgon blindé	Pas de liberté sans courage !	3	-3	3	-3	-3	-5	0	0	-3	3	-3	6	3	3	-3	-3	NA	NA
40	international	diplomatie	isolationniste	Tremblement de terre à Haïti	La catastrophe a causé de nombreuses victimes, morts, blessé, amputés et des milliers de personnes victimes de troubles psychologiques. Plusieurs pays, grandes sociétés mondiales et célébrités ont fait de nombreux dons pour aider le peuple haïtien	0	normal	https://cdn.pixabay.com/photo/2016/09/12/21/57/earthquake-1665878_960_720.jpg	Donner un euro symbolique	Faire un don d'un million d'euros	-3	-2	-3	3	-3	-3	2	2	3	2	3	-3	3	3	-2	-2	NA	NA
41	economie	economie	communiste	Développer ensemble le port du futur	Entrepreneurs du numérique, chercheurs universitaires et professionnels de la logistique ont présenté un plan de modernisation du port devant la chambre de commerce et d’industrie	0	normal	https://cdn.pixabay.com/photo/2017/02/05/04/21/keppel-2039122_960_720.jpg	On arrête pas le progrès !	Mettre fin aux grêves de dockers d'abord	-2	-4	2	-6	2	2	2	2	2	4	-2	6	-2	-2	-2	-2	NA	NA
42	economie	societe	reactionnaire	Projet de parc éolien en mer	Le parc éolien offshore produira une quantité substantielle d'éléctricité. Cependant sa construction n'est pas sans heurt	0	normal	https://cdn.pixabay.com/photo/2016/04/20/00/42/pinwheel-1340203_960_720.jpg	Permis de construire sur une aire marine protégée	Permis de construire sur un site de pêche traditionnelle	-2	2	-2	4	0	0	-2	-2	2	-2	2	-4	0	0	2	2	NA	NA
43	economie	societe	communiste	Faillite des banques privées	La dérégulation des marchés financiers a ruinée de nombreuses banques. Nombre de nos concitoyens se trouvent privés de leurs économies	0	normal	https://cdn.pixabay.com/photo/2014/11/25/08/08/financial-crisis-544944_960_720.jpg	Ces banques payeront ce qu'elles doivent à la société	Renflouer ces banques en espérant un retour sur investissement	2	4	-2	4	0	0	3	3	-2	-4	2	-4	0	0	-3	-3	NA	NA
44	economie	promesse	make_westernia_great_again	Ce que le Président a promis aux entrepreneurs	"""L'entreprenariat reste la seule façon de créer des emplois"" a martelé le président au salon de l'entreprise. L’occasion aussi d’annoncer quelques mesures phares "	0	normal	https://cdn.pixabay.com/photo/2017/06/13/11/48/brainstorming-2398560_960_720.jpg	Ouvrir un fond de financement publique pour les start-up	Déléguer le financement aux banques privées	0	0	2	4	0	0	-3	-3	0	-6	-2	-4	0	0	3	3	NA	NA
45	economie	economie	communiste	Vers une privatisation de la distribution d'eau potable ?	Tout les westerniens ont l'eau courante et le réseau est en très bon état. Toutefois vendre le réseau aux entreprises du secteur privé permettrait d'enrichir l'état	0	normal	https://cdn.pixabay.com/photo/2015/05/31/11/24/tap-791172_960_720.jpg	Les besoins fondamentaux sont la responsabilité de l'état	Privatiser le réseau de distribution d'eaux	2	4	-2	4	0	0	-2	-2	-2	-4	2	-4	0	0	2	2	NA	NA
46	economie	economie	communiste	Absence d'entretien et mauvaise gestion du réseau routier	Les routes westerniennes sont en mauvais état et les risques d'accident y sont accrus. Privatiser les routes permettrait de financer leur entretien mais ferait perdre une rentrée d'argent à l'état	0	normal	https://cdn.pixabay.com/photo/2014/05/19/21/39/road-348544_960_720.jpg	Imposer une limite de vitesse sur la route	Privatiser le réseau routier	-3	-3	-3	6	0	0	2	2	3	3	3	-6	0	0	-2	-2	NA	NA
47	economie	economie	communiste	Des ouvriers sollicitent le gouvernement pour éviter la fermeture d'une usine	Le libéralisme a ses limites. Le ministre de l'Economie est convoqué au tribunal de commerce pour sauver cette entreprise de 2000 salariés	0	normal	https://cdn.pixabay.com/photo/2016/07/19/02/22/old-factory-1527383_960_720.jpg	Le ministre doit empêcher la fermeture même si ça doit lui coûter sa place	Ce genre d'anecdote ne doit pas perturber la ligne de conduite du gouvernement	2	2	-3	6	0	0	-3	-3	-2	-2	3	-6	0	0	3	3	NA	NA
48	economie	economie	communiste	Réseau ferroviaire des transports en commun : les bas prix relancent l'activité	Cette politique agressive et tarifaire a été rendue possible depuis l'introduction en bourse de la RFTC de Westernia. L'état y perd le contrôle de la présidence de l'entreprise	0	normal	https://cdn.pixabay.com/photo/2015/02/01/01/34/railway-station-619082_960_720.jpg	Poursuivre la levée de fonds	Racheter des parts au nom de l'état	0	0	3	-6	0	0	3	3	0	0	-3	6	0	0	-3	-3	NA	NA
49	economie	economie	communiste	Télécoms : dérégulation des prix d'accès au réseau	Le réseau câblé est facturé à outrance, au détriment des consomateurs mais au bénéfice des fournisseurs d'accès dominants, empêchant le développement de la concurrence	0	normal	https://cdn.pixabay.com/photo/2016/12/04/00/07/aerial-1880873_960_720.jpg	Taxer les entreprises dominantes	Réguler le prix afin de faire jouer la concurrence	-3	-3	-2	4	0	0	2	2	3	3	2	-4	0	0	0	0	NA	NA
50	societe	economie	pragmatique	Sécurité routière : les radars victimes de leur succès	De plus en plus d'amendes, mais pas moins de morts sur les routes, le rendement de la Sécurité routière est enfin démasqué : la moitié de l'argent part dans les caisses de l'état	0	normal	https://cdn.pixabay.com/photo/2014/10/25/19/24/blitzer-502970_960_720.jpg	Réduire le prix des contraventions	Maintenir le prix des contraventions	3	3	2	-4	0	0	-2	-2	-3	-3	-2	4	0	0	2	2	NA	NA
51	societe	societe	conservateur	Interdit de séjour à Westernia : le peuple se mobilise dans les aéroports	L’interdit, qui est entré en vigueur, empêche les voyageurs des pays de la liste rouge, de se rendre à Westernia. L'admission de tout réfugié est aussi bloquée. La mesure devrait permettre d'endiguer le terrorisme	0	normal	https://cdn.pixabay.com/photo/2013/06/08/01/00/aircraft-take-off-123000_960_720.jpg	Même si c'est dangereux, il faut parfois savoir écouter le peuple	Noter les noms de tout ceux qui s'opposent à l'interdit de séjour	3	3	2	-4	3	3	-3	-3	-3	-3	-2	4	-3	-3	3	3	NA	NA
52	societe	societe	progressiste	Légalisation du cannabis	Sortir de la sphère pénale la consommation de cannabis pourrait soulager autant les policiers que les usagers. Mais faut-il aller plus loin ?	0	normal	https://cdn.pixabay.com/photo/2017/01/29/21/47/joint-2019478_960_720.jpg	Taxer la consommation des drogues légalisées	La consommation de cannabis reste séverement punie par la loi	0	0	-3	3	0	0	2	2	0	0	3	-3	0	0	-2	-2	NA	NA
53	societe	societe	progressiste	Union civile pour les homosexuels	Le texte établit désormais que «le mariage est conclu à vie par deux personnes de sexe différent ou de même sexe». Concrètemen, il octroit aux couples homosexuels le droit d'adoption	0	normal	https://cdn.pixabay.com/photo/2016/06/06/14/54/birthday-cake-1439582_960_720.jpg	C'est contre les traditions westerniennes	C'est avec plaisir que je ratifie la décision du Sénat	0	0	3	-6	-2	-2	0	0	0	0	-3	6	2	2	0	0	NA	NA
54	societe	societe	progressiste	Droit à l'avortement	L’interruption volontaire de grossesse est reconnue par les Nations Unies comme un droit humain. Qu’en est-il à Westernia ?	0	normal	https://cdn.pixabay.com/photo/2017/04/13/20/49/sculpture-2228630_960_720.jpg	Je suis moi-même un enfant non désiré...	Un enfant, s'il n'est pas désiré, ce n'est pas la peine	0	0	3	-6	-2	-2	0	0	0	0	-3	6	-2	-2	0	0	NA	NA
55	societe	economie	communiste	Le Président en visite à l'hôpital de Westernia City	Les services de santé de Westernia City sont parmis les plus avancés au monde. Toutefois sans un financement publique, l'hôpital risque de fermer	0	normal	https://cdn.pixabay.com/photo/2016/11/08/05/29/aid-1807541_960_720.jpg	Je suis très fier de notre excellente médecine publique	Sinon pour les vrais soins médicaux, il y a la clinique privée	2	2	-2	4	0	0	-2	-2	-2	-2	2	-4	0	0	2	2	NA	NA
56	societe	faits_divers	NA	Scandale : la femme du président pose un lapin aux enfants handicapés pour aller faire du shopping	En visite officielle, le président devait se rendre au chevet des enfants malades pour une association charicative. Il a préférée ne pas se rendre à l'hôpital pour aller faire du shopping	0	normal	https://cdn.pixabay.com/photo/2014/11/19/18/21/wheelchair-538138_960_720.jpg	Rejeter la faute sur le Parti	Rejeter la faute sur le Sénat	-2	NA	-5	NA	0	NA	0	NA	-2	NA	0	NA	0	NA	-5	NA	NA	NA
57	societe	societe	reactionnaire	Abolition de la peine de mort	Les westerniens sont de moins en moins favorables à la peine capitale. Annoncée depuis plusieurs années, l'abolition totale met du temps à se mettre en place. Cette pratique reste très ancrée dans les esprits des reactionnaires et des conservateurs	0	normal	https://cdn.pixabay.com/photo/2012/12/24/08/40/electric-chair-72283_960_720.jpg	Je suis hostile à la peine de mort	Elle évite à la personne de récidiver, non ?	2	2	2	-4	2	2	0	0	-2	-2	2	-4	-2	-2	0	0	NA	NA
58	planete	faits_divers	NA	Déchets nucléaires : les riverains s'inquiètent des dangers pour l’eau portable	Une décision pourrait bientôt être rendue relativement au projet de construction d’un site d'enfouissement des déchets nucléaires à proximité d'une nappe phréatique	0	normal	https://cdn.pixabay.com/photo/2016/06/21/15/55/nuclear-waste-1471361_960_720.jpg	Les riverains n'ont qu'à déménager	Qu'ils se rassurent : ces déchets sont innoffensifs	-6	NA	0	NA	0	NA	2	NA	-3	NA	0	NA	0	NA	-2	NA	NA	NA
59	planete	societe	conservateur	Les abeilles menacées d'extinction	Selon les experts, la monoculture et certains pesticides sont responsables de leur disparition. Réformer les pratiques agricoles pourraient être desastreux à court terme mais la disparition des abeilles le serait davantage sur le long terme	0	normal	https://cdn.pixabay.com/photo/2016/08/06/22/07/bee-1575236_960_720.jpg	Les experts se trompent : ce sont les fumeurs de tabac qui tuent les abeilles	Les experts ont raison : il faut (encore) réformer l'agriculture	-3	-3	-2	4	-2	-2	2	2	3	3	2	-4	2	2	-2	-2	NA	NA
